file,Implementation Smell,commit,name,owner,status
App.atual,Magic Number,1f0bedbbe13e231113234c0458942717877e5745,java-design-patterns,iluwatar,MERGED
App.atual,Magic Number,1f0bedbbe13e231113234c0458942717877e5745,java-design-patterns,iluwatar,MERGED
App.atual,Magic Number,1f0bedbbe13e231113234c0458942717877e5745,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,f970a7646dc4941eafa354749a7648482862147e,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.anterior,Magic Number,eeb8c58fe945b840b84046a1aad3b6cde2ce0342,java-design-patterns,iluwatar,MERGED
App.atual,Long Statement,bde5b343d0dab8c1b77caa3a6e9183af33ef10f7,java-design-patterns,iluwatar,MERGED
App.anterior,Long Statement,bde5b343d0dab8c1b77caa3a6e9183af33ef10f7,java-design-patterns,iluwatar,MERGED
Star.atual,Magic Number,3da9ad54699086441e5284ac25ba7985292388d1,java-design-patterns,iluwatar,MERGED
Star.atual,Magic Number,3da9ad54699086441e5284ac25ba7985292388d1,java-design-patterns,iluwatar,MERGED
Star.atual,Magic Number,3da9ad54699086441e5284ac25ba7985292388d1,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,3da9ad54699086441e5284ac25ba7985292388d1,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,3da9ad54699086441e5284ac25ba7985292388d1,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,3da9ad54699086441e5284ac25ba7985292388d1,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,3da9ad54699086441e5284ac25ba7985292388d1,java-design-patterns,iluwatar,MERGED
FileSelectorJFrame.atual,Magic Number,3da9ad54699086441e5284ac25ba7985292388d1,java-design-patterns,iluwatar,MERGED
